DEALER_ORDER_ID,DEALER_ID,DEALER_ORDER_NO,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE,REPAIR_TYPE,ORDER_STATUS,ORDER_CREATE_DATE,ORDER_LAST_BALANCE_DATE,VIN,CUST_NAME,CUST_EMAIL,DELIVERER,DELEVERER_MOBILE,POWER_MILEAGE,TOTAL_MILEAGE,CREATE_CLAIM_FLAG,CLAIM_NO,ACTIVITY_FLAG,ACTIVITY_CODE,TROUBLE_DESC,DELIVER_PROBLEM,CHECK_RESULT,IS_SECSTORE,SECSTORE_ID
1.0,24.0,70.0,9999999999,2024-02-28,9999999988,2024-04-19,Warranty,Completed,2024-02-28,2024-04-19,ZBO-5B31,Ana Cecília Albuquerque,caua64@example.com,Luísa Borges,0900-144-0080,34054.0,41309.0,Y,b6a5d420-8554-4c90-9040-ad1195eeba7f,Y,c71191dc-75bf-4971-9e3e-364c29a2eae7,,,,Y,24fc0a18-36ea-4fb5-91b9-4edfacea9e2e
2.0,26.0,43.0,9999999999,2024-07-18,9999999988,2024-07-21,Non-Warranty,Pending,2024-07-18,2024-07-21,RJR-1U79,Isabella Costa,fernanda78@example.net,Gabrielly Pastor,+55 51 9387 6982,8654.0,92716.0,N,,N,,,,,N,
3.0,45.0,94.0,9999999999,2024-01-06,9999999988,2024-03-26,Warranty,Pending,2024-01-06,2024-03-26,EBR-9I18,Sra. Fernanda Pires,ucassiano@example.org,Maria Helena Araújo,0500 639 8443,5562.0,53200.0,N,,N,,,,,N,
4.0,30.0,44.0,9999999999,2024-03-20,9999999988,2024-04-19,Non-Warranty,Pending,2024-03-20,2024-04-19,IPX-7X50,Kevin Cardoso,anunes@example.org,Liz Andrade,+55 81 2409-3144,11738.0,14393.0,N,,Y,2695a51b-02e1-4f66-b8eb-164430ea8ee0,,,,N,
5.0,37.0,41.0,9999999999,2024-01-15,9999999988,2024-06-03,Warranty,Pending,2024-01-15,2024-06-03,VUB-3U41,Maria Alice Novais,da-rosabeatriz@example.com,Vitor Gabriel da Rosa,21 9613-8736,39723.0,20261.0,N,,Y,382e7ce7-6bc1-4f9c-a5e5-fc099de1f47a,,,,Y,ab1b3785-13c8-4595-ba94-21a08f4dbf1a
6.0,41.0,105.0,9999999999,2024-06-25,9999999988,2024-06-25,Warranty,Pending,2024-06-25,2024-06-25,WNF-6L58,Dr. Ravi Vargas,montenegrosophia@example.org,Ester Rios,21 4403-1081,37266.0,42266.0,Y,5ce77fa1-3256-4949-9eee-54d3e960f99c,N,,,,,Y,52944355-4c54-419f-ac05-6dbd376bf160
7.0,47.0,24.0,9999999999,2024-02-28,9999999988,2024-04-23,Warranty,Pending,2024-02-28,2024-04-23,VWF-8T38,Dr. Ravi Moreira,rdias@example.org,Cauã Santos,0800 974 2974,8465.0,92945.0,N,,Y,256ab6f8-8251-48d9-8130-670731f05ec0,,,,N,
8.0,30.0,118.0,9999999999,2024-02-01,9999999988,2024-06-09,Non-Warranty,Completed,2024-02-01,2024-06-09,NVX-2Q58,Sophie Fogaça,xsa@example.net,Maria Isis Ramos,+55 (061) 5763-3223,14504.0,70859.0,Y,e6851a50-42a0-448a-9676-960826c67dab,Y,1dca2f68-52da-4b0c-b4fd-a61e07ef8b3a,,,,N,
9.0,6.0,60.0,9999999999,2024-07-20,9999999988,2024-07-22,Non-Warranty,Pending,2024-07-20,2024-07-22,QXE-4A46,Cecília Barros,nmoura@example.net,Antonella Silva,(081) 4947 0889,44750.0,46221.0,Y,d97d1d4a-363e-4a64-902c-7e86bdcf02f5,Y,a7c41f1d-3dad-42f0-81dd-028d4c0f2e72,,,,Y,4e9cdb64-5c87-4611-8edc-d804fdd014ce
10.0,3.0,113.0,9999999999,2024-04-22,9999999988,2024-05-29,Warranty,In Progress,2024-04-22,2024-05-29,JON-9D52,Emanuella Cardoso,cguerra@example.net,Yasmin Santos,+55 21 6997 3588,38863.0,40873.0,N,,N,,,,,N,
11.0,31.0,62.0,9999999999,2024-04-08,9999999988,2024-05-21,Non-Warranty,In Progress,2024-04-08,2024-05-21,FSA-7M26,Natália da Cruz,pcassiano@example.com,Mariah Rocha,0900-957-8883,46182.0,91868.0,N,,N,,,,,Y,4417061d-543a-40de-9163-44f759643dfb
12.0,14.0,74.0,9999999999,2024-05-03,9999999988,2024-05-16,Non-Warranty,Completed,2024-05-03,2024-05-16,TGP-5B67,Hellena da Rosa,joao-lucas77@example.org,Liam Sá,(071) 1738-5346,2984.0,14679.0,N,,Y,1ac898dd-732f-4196-b07b-0c73e242617d,,,,N,
13.0,27.0,30.0,9999999999,2024-06-29,9999999988,2024-07-03,Non-Warranty,Pending,2024-06-29,2024-07-03,PWL-9W08,Nina Araújo,martinsemanuelly@example.com,André Pastor,+55 (011) 2495-8067,9732.0,21454.0,N,,N,,,,,Y,3a588b47-2250-4c4f-a9de-4cf668278874
14.0,37.0,39.0,9999999999,2024-05-05,9999999988,2024-05-28,Warranty,Completed,2024-05-05,2024-05-28,ZNI-1J42,Bruna Garcia,gabrielcastro@example.com,Liz Costa,+55 84 2287-1891,27688.0,18543.0,Y,d360f0b7-f5be-4006-850c-933cd95930df,N,,,,,Y,39e33770-4ef7-4819-ab14-a2abb122acdc
15.0,4.0,58.0,9999999999,2024-01-03,9999999988,2024-07-15,Warranty,In Progress,2024-01-03,2024-07-15,WLR-4G11,Otto Sales,noah44@example.net,Brenda Sá,21 3310-3173,11663.0,1259.0,N,,Y,d2d44de6-ffac-4d34-8dc2-2c6c90878966,,,,N,
16.0,6.0,105.0,9999999999,2024-01-23,9999999988,2024-02-18,Warranty,Pending,2024-01-23,2024-02-18,IBP-4K54,Otto Nogueira,alexandre64@example.net,Sr. Josué Rios,81 5548 2265,12649.0,12908.0,Y,753c3db1-17f1-4911-8f4a-356857057245,N,,,,,Y,22e8d76b-1e30-4cf9-be26-c14480ea294d
17.0,18.0,44.0,9999999999,2024-05-26,9999999988,2024-07-11,Warranty,Completed,2024-05-26,2024-07-11,OOU-4Z63,Lucas Gabriel Rocha,thiagosilveira@example.net,Isabela Mendonça,+55 (021) 4465 4749,3922.0,36924.0,Y,5312c9e8-8a95-411f-ae30-be594c164e9e,Y,10ebb135-54ff-4f6b-bc0e-177454fd3e58,,,,Y,2be4f75b-f333-4b35-851a-9adff67f069d
18.0,27.0,113.0,9999999999,2024-06-20,9999999988,2024-07-14,Non-Warranty,Completed,2024-06-20,2024-07-14,NEE-6Q56,Srta. Maria Liz da Mota,uvargas@example.org,Raul Gonçalves,+55 21 7532-4997,41473.0,17582.0,Y,b405ec6f-587c-48df-bfc6-ea047f43208d,N,,,,,N,
19.0,14.0,111.0,9999999999,2024-01-09,9999999988,2024-03-23,Non-Warranty,Pending,2024-01-09,2024-03-23,RYJ-9O20,Mariah Novaes,claracamargo@example.net,Clara Melo,(041) 2974 8968,45564.0,85072.0,N,,Y,41221709-c8ec-4892-8fb5-a785624860a7,,,,N,
