dealerOrderId,dealerId,dealerOrderNo,createBy,createName,updateBy,updateName,repairType,orderStatus,orderCreateDate,orderLastBalanceDate,vin,custName,custEmail,deliverer,delivererMobile,powerMileage,totalMileage,createClaimFlag,claimNo,activityFlag,activityCode,troubleDesc,deliverProblem,checkResult,isSecstore,secstoreId
000001,000046,109.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-05-19,2024-06-02,TEA-8D54,Vitor Gabriel Casa Grande,Casa Grande.Vitor Gabriel@@yahoo.com.br,Leonardo Albuquerque,+55 (061) 2574 0017,40988.0,35451.0,N,,Y,337d2751-b4b4-4c9e-a762-b8ba0f2a4e48,Overheating of battery,,,N,
000002,000034,37.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-05-22,2024-06-16,WOU-2F37,Mathias da Cruz,da Cruz.Mathias@uol.com.br,Luan Santos,+55 (084) 7526 5373,48285.0,10403.0,N,,Y,39b9e14d-c5a4-48b9-8ae2-b99f8a127d6f,Cooling system issues,,,Y,f74f31a7-726c-428e-bef9-13211d30ce5c
000003,000047,38.0,9999999999,Name,9999999988,Name,Warranty,Pending,2024-03-29,2024-04-24,QVQ-2S92,João Felipe Albuquerque,Albuquerque.João Felipe@@outlook.com,Isabella da Rosa,(041) 0583 2022,38795.0,7771.0,Y,5bec4c4f-8f37-4c09-ae7d-843f4a77308b,Y,5c150718-cf21-4533-8346-61696cc3ff13,Charging issues,,,N,
000004,000046,63.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-06-03,2024-07-09,OLJ-0E57,Benjamin Macedo,Macedo.Benjamin@@outlook.com,Emilly Albuquerque,+55 (081) 8718-2675,48722.0,92547.0,Y,17d9d1f3-d6ab-4ef8-908e-3802ffee6114,Y,9389c62c-b741-4359-915c-faa5d8933b80,Cabin filter replacement,,,N,
000005,000042,26.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-04-21,2024-06-05,DJT-8B92,Yuri da Rosa,da Rosa.Yuri@@outlook.com,Bárbara Abreu,+55 61 1512-5936,27246.0,80966.0,N,,Y,c7006938-1ddf-4b60-9303-e1101b6d74b6,Suspension problems,,,N,
000006,000050,50.0,9999999999,Name,9999999988,Name,Non-Warranty,Completed,2024-02-05,2024-02-16,WEN-4X72,Sara Almeida,Almeida.Sara@@gmail.com,Sra. Emanuella da Rocha,+55 (084) 6206-5260,30886.0,16050.0,Y,5c04fad2-301a-433c-8cf7-82ab1621338f,Y,6d38bd2f-ee41-4b08-a1ab-2c5b9b7e9501,Cabin filter replacement,,,N,
000007,000008,78.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-01-12,2024-03-17,OMD-9C44,Giovanna Martins,Martins.Giovanna@uol.com.br,Lavínia Ferreira,+55 (051) 6490-4553,39085.0,10372.0,Y,bf320b63-6f7d-48e7-bf7e-a5005d1fd074,Y,e78b5351-ac0e-4c1b-aafe-fb0085f1d2a6,Windshield replacement,,,N,
000008,000003,103.0,9999999999,Name,9999999988,Name,Non-Warranty,Pending,2024-05-18,2024-06-05,CVG-1Z77,Lucas Gabriel Andrade,Andrade.Lucas Gabriel@@yahoo.com.br,Rodrigo da Conceição,(051) 2988 7406,33182.0,58964.0,N,,Y,a6842175-f54b-492a-a5bc-4877f333787b,Suspension problems,,,N,
000009,000016,35.0,9999999999,Name,9999999988,Name,Warranty,Completed,2024-04-23,2024-04-30,FQM-2O28,Lucas Gabriel Rezende,Rezende.Lucas Gabriel@@outlook.com,Ana Clara Ribeiro,+55 (041) 9071-5135,42804.0,84645.0,Y,150d75ec-f150-4f88-a592-cf3a2137182b,N,,Suspension problems,,,N,
000010,000003,105.0,9999999999,Name,9999999988,Name,Non-Warranty,In Progress,2024-07-07,2024-07-22,ZBW-5R22,Antony Moreira,Moreira.Antony@@yahoo.com.br,Ana Sophia Teixeira,41 6415-1267,20245.0,98575.0,Y,643f4961-19d7-47d3-8d00-7d952ccc9e95,N,,Overheating of battery,,,Y,7ca5d302-0921-439b-b4e6-88c8fe0d9ff2
