CLIENT_ID,CLIENT_FIRST_NAME,CLIENT_LAST_NAME,CAR,CLAIM,dealerId,delaerOrderId
1.0,Heloísa,Vasconcelos,Seal,Vehicle control system failures,11.0,000001
2.0,Cecília,Aragão,Dolphin,Range anxiety,27.0,000002
3.0,Luiz Otávio,Melo,Han,Battery degradation,44.0,000003
4.0,Augusto,Vargas,Yuan,Charging issues,38.0,000004
5.0,Beatriz,Montenegro,Tan,Charging issues,46.0,000005
6.0,Luiz Fernando,Siqueira,Dolphin,Range anxiety,34.0,000006
7.0,Thales,Almeida,Han,Charging issues,5.0,000007
8.0,Alice,Lima,Dolphin,Charging issues,24.0,000008
9.0,Igor,Borges,Tan,Range anxiety,14.0,000009
10.0,Lorenzo,Cavalcanti,Dolphin,Software glitches,35.0,000010
11.0,Marcos Vinicius,Dias,Dolphin,Range anxiety,46.0,000011
12.0,Bruna,da Mota,Dolphin,Cabin filter replacement,19.0,000012
13.0,Yan,Sales,Yuan,Brake system maintenance,43.0,000013
14.0,Ísis,Araújo,Dolphin,Electric motor failure,13.0,000014
15.0,Mariana,Martins,Dolphin,Range anxiety,9.0,000015
16.0,Rafaela,Sá,Dolphin,Brake system maintenance,29.0,000016
17.0,Sofia,Ribeiro,Yuan,Electrical system faults,9.0,000017
18.0,Gael,Novaes,Yuan,Wiring problems,48.0,000018
19.0,Maria Luísa,Mendes,Dolphin,Windshield replacement,21.0,000019
20.0,Maria Fernanda,Rios,Dolphin,Electrical system faults,18.0,000020
21.0,Lucca,Aragão,Dolphin,Charging issues,43.0,000021
22.0,Luiza,Montenegro,Dolphin,Battery management system failure,19.0,000022
23.0,Ana Lívia,Cavalcanti,Dolphin,Charging port issues,9.0,000023
24.0,Eduardo,Araújo,Tan,Battery management system failure,14.0,000024
25.0,Maria,Aparecida,Han,Battery management system failure,40.0,000025
26.0,Maria Vitória,da Rocha,Dolphin,Windshield replacement,29.0,000026
27.0,Mariane,Castro,Dolphin,Range anxiety,8.0,000027
28.0,Rafaela,Costela,Dolphin,Charging issues,40.0,000028
29.0,Emanuelly,Pereira,Yuan,Electrical system faults,42.0,000029
30.0,Ana Laura,Ribeiro,Dolphin,Charging issues,25.0,000030
31.0,Paulo,Ribeiro,Dolphin,Cooling system issues,9.0,000031
32.0,João Pedro,Correia,Dolphin,Range anxiety,33.0,000032
33.0,Emanuella,Cunha,Dolphin,Brake system maintenance,5.0,000033
34.0,Mariah,da Rocha,Dolphin,Regenerative braking issues,31.0,000034
35.0,Marina,Nunes,Dolphin,Range anxiety,38.0,000035
36.0,Juliana,Viana,Dolphin,Electric motor failure,48.0,000036
37.0,Ana Vitória,Aragão,Dolphin,Battery degradation,39.0,000037
38.0,Lucas Gabriel,Rezende,Tan,Battery degradation,22.0,000038
39.0,Vitor Gabriel,Mendes,Yuan,Cooling system issues,14.0,000039
40.0,Laura,Lopes,Dolphin,Fluid top-up,29.0,000040
41.0,Laura,Jesus,Dolphin,Range anxiety,23.0,000041
42.0,Isabelly,Correia,Han,Electric motor failure,47.0,000042
43.0,João Miguel,da Rosa,Seal,Electric motor failure,13.0,000043
44.0,Cauê,da Mata,Dolphin,Overheating of battery,12.0,000044
45.0,Juan,Gomes,Tan,Wiring problems,14.0,000045
46.0,Rodrigo,Câmara,Dolphin,Electric motor failure,17.0,000046
47.0,Maria Luísa,da Paz,Seal,Battery degradation,47.0,000047
48.0,Raquel,Marques,Han,Suspension problems,9.0,000048
49.0,Luiz Fernando,Mendonça,Dolphin,Inconsistent charging,48.0,000049
50.0,Liz,da Cruz,Tan,Battery management system failure,35.0,000050
51.0,Ana Beatriz,Sales,Dolphin,Range anxiety,2.0,000051
52.0,Rafael,Pacheco,Han,Brake system maintenance,23.0,000052
53.0,Levi,Campos,Seal,Electrical system faults,9.0,000053
54.0,Gabriela,Gomes,Dolphin,Charging issues,6.0,000054
55.0,Cecilia,Sá,Dolphin,Battery degradation,37.0,000055
56.0,João Miguel,Rocha,Han,Range anxiety,36.0,000056
57.0,Isis,Casa Grande,Dolphin,Overheating of battery,33.0,000057
58.0,Mariana,Machado,Dolphin,Battery management system failure,30.0,000058
59.0,Melissa,Peixoto,Han,Charging port issues,47.0,000059
60.0,Sophia,Silveira,Dolphin,Wiring problems,27.0,000060
61.0,Daniel,Peixoto,Dolphin,Battery overheating,35.0,000061
62.0,Dom,Casa Grande,Dolphin,Electric motor failure,16.0,000062
63.0,Luiz Felipe,Jesus,Dolphin,Charging port issues,21.0,000063
64.0,Davi Luiz,da Mota,Dolphin,Electrical system faults,32.0,000064
65.0,Juliana,Camargo,Yuan,Overheating of battery,25.0,000065
66.0,Manuela,Dias,Dolphin,Regenerative braking issues,42.0,000066
67.0,Henrique,Silva,Seal,Cooling system issues,35.0,000067
68.0,Sophie,Caldeira,Yuan,Overheating of battery,30.0,000068
69.0,Mariana,Borges,Dolphin,Tire replacement,31.0,000069
70.0,Arthur Gabriel,Câmara,Dolphin,Electric motor failure,33.0,000070
71.0,Melissa,Santos,Dolphin,Cooling system issues,25.0,000071
72.0,Brayan,Abreu,Yuan,Electrical system faults,50.0,000072
73.0,João Lucas,Rocha,Han,Tire replacement,3.0,000073
74.0,Isabela,Carvalho,Yuan,Charging issues,35.0,000074
75.0,João Miguel,Leão,Yuan,Charging issues,36.0,000075
76.0,Clara,Pereira,Yuan,Software glitches,8.0,000076
77.0,Natália,da Rocha,Dolphin,Regenerative braking issues,6.0,000077
78.0,Theodoro,Novais,Seal,Electric motor failure,37.0,000078
79.0,Camila,Leão,Dolphin,Battery degradation,25.0,000079
80.0,Pedro Lucas,Cavalcanti,Yuan,Charging issues,45.0,000080
81.0,José Miguel,Fernandes,Dolphin,Electric motor failure,11.0,000081
82.0,Olivia,da Cruz,Yuan,Charging issues,37.0,000082
83.0,Ravi,Câmara,Dolphin,Range anxiety,26.0,000083
84.0,Benício,Sampaio,Dolphin,Charging issues,30.0,000084
85.0,Marcela,Alves,Dolphin,Electrical system faults,37.0,000085
86.0,Antônio,Pacheco,Dolphin,Battery management system failure,8.0,000086
87.0,Rael,Abreu,Yuan,Electric motor failure,44.0,000087
88.0,Manuella,Rezende,Dolphin,Charging issues,50.0,000088
89.0,Raul,Azevedo,Dolphin,Brake system maintenance,32.0,000089
90.0,Pedro Henrique,Silva,Yuan,Battery degradation,27.0,000090
91.0,Yuri,Nunes,Dolphin,Tire replacement,2.0,000091
92.0,Ana,da Rocha,Yuan,Battery degradation,1.0,000092
93.0,Ana Sophia,das Neves,Dolphin,Charging issues,45.0,000093
94.0,Manuela,Albuquerque,Tan,Charging issues,16.0,000094
95.0,Camila,Macedo,Dolphin,Battery management system failure,16.0,000095
96.0,Gabrielly,Oliveira,Dolphin,Electrical system faults,7.0,000096
97.0,Luna,Siqueira,Yuan,Battery management system failure,48.0,000097
98.0,Sophia,Freitas,Han,Battery management system failure,35.0,000098
99.0,Heloísa,Câmara,Yuan,Battery management system failure,41.0,000099
100.0,Arthur Miguel,Casa Grande,Dolphin,Overheating of battery,33.0,000100
101.0,Antony,Guerra,Yuan,Battery degradation,48.0,000101
102.0,Juan,Gonçalves,Dolphin,Charging issues,44.0,000102
103.0,Mariah,Aparecida,Dolphin,Software glitches,34.0,000103
104.0,Dante,Mendonça,Dolphin,Range anxiety,31.0,000104
105.0,Carlos Eduardo,Fogaça,Dolphin,Charging issues,4.0,000105
106.0,Anthony,Marques,Dolphin,Electrical system faults,36.0,000106
107.0,Ester,Martins,Dolphin,Windshield replacement,2.0,000107
108.0,Júlia,Machado,Yuan,Range anxiety,19.0,000108
109.0,Lucas Gabriel,Barbosa,Seal,Overheating of battery,37.0,000109
110.0,Kamilly,Leão,Yuan,Battery management system failure,24.0,000110
