REPAIR_LABOUR_ID,DEALER_ORDER_ID,LABOUR_CODE,LABOUR_NAME,LABOUR_HOURS,TECHNICIAN,UNIT_PRICE_OF_LABOUR,DISCOUNT_RATE,OEM_FLAG,PAID_IN_AMOUNT,createBy,createDate
0000000001,000001,WLR017BYD001,Suspension Repair,1.0,Noah Fonseca,207.0,0.13,N,180.09,9999999999,2024-02-24
0000000002,000002,WLR001BYD001,Battery Replacement,3.0,Marcelo Cirino,631.0,0.21,N,498.49,9999999999,2024-05-06
0000000003,000003,WLR016BYD003,Brake System Service,2.0,Théo Pinto,1408.0,0.22,N,1098.24,9999999999,2024-06-06
0000000004,000004,WLR017BYD001,Suspension Repair,3.0,Caio Fonseca,1527.0,0.52,N,732.9599999999999,9999999999,2024-03-04
0000000005,000005,WLR008BYD002,Thermal Management Service,2.0,Vicente Melo,754.0,0.39,N,459.94,9999999999,2024-06-18
0000000006,000006,WLR017BYD001,Suspension Repair,4.0,Luigi Silva,260.0,0.34,N,171.6,9999999999,2024-05-06
0000000007,000007,WLR004BYD001,Charging Port Repair,5.0,Otávio Rios,1308.0,0.44,N,732.48,9999999999,2024-07-28
0000000008,000008,WLR017BYD001,Suspension Repair,2.0,Davi Correia,1878.0,0.43,Y,1070.46,9999999999,2024-04-21
0000000009,000009,WLR016BYD001,Brake System Service,4.0,Melina Peixoto,1476.0,0.44,Y,826.56,9999999999,2024-08-12
0000000010,000010,WLR004BYD001,Charging Port Repair,3.0,Isabel Mendes,318.0,0.22,N,248.04000000000002,9999999999,2024-05-26
0000000011,000011,WLR017BYD001,Suspension Repair,4.0,Felipe Caldeira,1494.0,0.43,N,851.58,9999999999,2024-06-06
0000000012,000012,WLR017BYD001,Suspension Repair,5.0,Ravy Brito,720.0,0.37,N,453.6,9999999999,2024-08-08
0000000013,000013,WLR016BYD001,Brake System Service,5.0,Joana Cunha,1698.0,0.13,N,1477.26,9999999999,2024-07-12
0000000014,000014,WLR017BYD001,Suspension Repair,6.0,Mateus Sousa,1971.0,0.15,N,1675.35,9999999999,2024-07-25
0000000015,000015,WLR016BYD004,Brake System Service,1.0,Mateus Albuquerque,1269.0,0.33,N,850.23,9999999999,2024-07-16
0000000016,000016,WLR010BYD003,Onboard Charger Repair,6.0,Luiz Miguel Albuquerque,1066.0,0.6,N,426.4,9999999999,2024-07-05
0000000017,000017,WLR017BYD001,Suspension Repair,3.0,Luan Aragão,1425.0,0.27,Y,1040.25,9999999999,2024-07-13
0000000018,000018,WLR006BYD001,BMS Calibration,4.0,Daniela Lopes,1445.0,0.35,N,939.25,9999999999,2024-08-08
0000000019,000019,WLR001BYD004,Battery Replacement,3.0,Eloá Lima,1587.0,0.27,N,1158.51,9999999999,2024-04-24
