DEALER_ORDER_ID,DEALER_ORDER_VERSION,DEALER_CODE,EXTERNAL_DEALER_ORDER_NO,SERVICE_CONSULTANT,CREATE_BY,CREATE_DATE,REPAIR_TYPE,REPAIR_SOURCE,ORDER_STATUS,ORDER_TYPE,ORDER_CREATE_DATE,ORDER_LAST_BALANCE_DATE,PREVIOUS_LAST_REPAIR_DATE,VIN,DELIVERER,DELIVERER_MOBILE,ENTER_SHOP_DATE,DISPATCH_DATE,COMPLETION_DATE,ETD,POWER_MILEAGE,TOTAL_MILEAGE,CREATE_CLAIM_FLAG,CLAIM_NO,ACTIVITY_FLAG,ACTIVITY_CODE,TROUBLE_DESC,DELIVER_PROBLEM,CHECK_RESULT,CURRENCY,TOTAL_PAID_IN_AMOUNT
1.0,1,000009,114.0,Lunna Fogaça,9999999999,2024-04-26,Non-Warranty,99301002,Opened,22021002,2024-04-26,2024-05-05,1800-01-01 00:00:00,LAU-3E15,Eloá Siqueira,+55 (071) 1695-4952,2024-04-26,2024-04-30,2024-05-05,2024-05-04,48803.0,246.0,Y,be50807b-d7bb-43e9-b485-77ee914c42b7,Y,1836a8c6-de5d-4ef2-8945-291e265464db,Inconsistent charging,,,BRL,1360.81
2.0,1,000032,51.0,Ian Montenegro,9999999999,2024-01-18,Warranty,99301002,Opened,22021001,2024-01-18,2024-07-18,1800-01-01 00:00:00,WOX-5K68,Dr. Ian Azevedo,+55 84 4203-5472,2024-01-18,2024-02-18,2024-07-18,2024-07-08,8067.0,97618.0,Y,ad454004-b5d7-486a-8237-f1b1ddea8d86,Y,8151b349-fb1a-491a-9324-4a65d1b9bef3,Tire replacement,,,BRL,326.22
3.0,1,000046,81.0,Maria Luísa Gonçalves,9999999999,2024-02-03,Warranty,99301002,Opened,22021001,2024-02-03,2024-03-03,1800-01-01 00:00:00,OVS-6J12,Luiz Gustavo Guerra,0800-284-5968,2024-02-03,2024-02-23,2024-03-03,2024-02-15,22148.0,85983.0,N,,Y,08e0e8df-688b-49e7-8449-6aef90a27b0e,Vehicle control system failures,,,BRL,2873.35
4.0,1,000010,98.0,Maria Vitória Silva,9999999999,2024-04-21,Non-Warranty,99301002,Opened,22021001,2024-04-21,2024-08-13,1800-01-01 00:00:00,EDX-6H24,Vitória Sampaio,(071) 3443-3853,2024-04-21,2024-04-29,2024-08-13,2024-06-18,20435.0,78481.0,N,,Y,8cdcc2ce-4bdf-4579-89b0-58677de0cadb,Inconsistent charging,,,BRL,2624.87
5.0,1,000010,109.0,Sr. Alexandre Sousa,9999999999,2024-06-03,Non-Warranty,99301002,Opened,22021001,2024-06-03,2024-07-13,1800-01-01 00:00:00,LZD-1V34,Sra. Rebeca Andrade,81 0517 4357,2024-06-03,2024-06-22,2024-07-13,2024-06-27,903.0,33359.0,Y,1fef3dd6-ed8f-402e-930c-f4ed5d87f7dc,Y,9af6b0ff-5326-4844-ba6c-b906ea4e5a2c,Suspension problems,,,BRL,393.41
6.0,1,000017,77.0,Hellena Pereira,9999999999,2024-04-22,Warranty,99301002,Opened,22021007,2024-04-22,2024-05-30,1800-01-01 00:00:00,GKI-0Z37,Maya Fernandes,41 2721-8943,2024-04-22,2024-05-27,2024-05-30,2024-05-08,21252.0,37098.0,N,,Y,88edd6d3-d9a0-490f-a961-95fa159a1f56,Suspension problems,,,BRL,1481.5
7.0,1,000028,45.0,Maria Luísa da Conceição,9999999999,2024-02-03,Non-Warranty,99301002,Opened,22021001,2024-02-03,2024-05-10,1800-01-01 00:00:00,FEH-1F34,Arthur Miguel Novais,+55 41 6499 5116,2024-02-03,2024-04-13,2024-05-10,2024-02-10,35084.0,21733.0,Y,aa4a4a8b-057d-44a3-a99c-e4cdfc9fe8b0,N,,Software glitches,,,BRL,1360.34
8.0,1,000040,69.0,Francisco Lima,9999999999,2024-07-06,Non-Warranty,99301002,Opened,22021001,2024-07-06,2024-08-04,1800-01-01 00:00:00,JTZ-6M71,João Miguel Azevedo,+55 61 7747 9583,2024-07-06,2024-07-18,2024-08-04,2024-07-14,31179.0,1058.0,N,,Y,e3d3d19a-1a1d-45c5-afcc-0c18d1655070,Software glitches,,,BRL,884.77
9.0,1,000049,68.0,Alícia Monteiro,9999999999,2024-03-05,Non-Warranty,99301002,Opened,22021001,2024-03-05,2024-04-18,1800-01-01 00:00:00,RVZ-5U58,Natália Vasconcelos,(051) 4308 9512,2024-03-05,2024-03-26,2024-04-18,2024-03-20,8915.0,81698.0,N,,Y,b8629d14-7432-4559-afd3-dfaa88ffdf97,Wiring problems,,,BRL,628.25
10.0,1,000003,114.0,Clara Azevedo,9999999999,2024-02-01,Warranty,99301002,Opened,22021001,2024-02-01,2024-03-20,1800-01-01 00:00:00,IOB-5R86,Thomas da Paz,0300 490 9242,2024-02-01,2024-03-07,2024-03-20,2024-03-15,18805.0,58780.0,N,,Y,4cafb15e-7f0c-42da-99d8-bfd370cf5745,Suspension problems,,,BRL,619.43
