DEALER_ORDER_ID,DEALER_ID,DEALER_ORDER_NO,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE,REPAIR_TYPE,ORDER_STATUS,ORDER_CREATE_DATE,ORDER_LAST_BALANCE_DATE,VIN,CUST_NAME,CUST_EMAIL,DELIVERER,DELEVERER_MOBILE,POWER_MILEAGE,TOTAL_MILEAGE,CREATE_CLAIM_FLAG,CLAIM_NO,ACTIVITY_FLAG,ACTIVITY_CODE,TROUBLE_DESC,DELIVER_PROBLEM,CHECK_RESULT,IS_SECSTORE,SECSTORE_ID
1.0,14.0,20.0,9999999999,2024-01-04,9999999988,2024-04-28,Non-Warranty,Pending,2024-01-04,2024-04-28,YSL-8X10,Lunna Novais,Lunna.Novais@@outlook.com,Dra. Ana Laura Porto,(021) 6826-6266,6173.0,13511.0,Y,ff21fd1b-0a07-4084-b1f2-a6b71f61a1a6,N,,,,,N,
2.0,2.0,113.0,9999999999,2024-04-21,9999999988,2024-06-23,Warranty,Completed,2024-04-21,2024-06-23,NHK-8B83,Mariane Pereira,Mariane.Pereira@@gmail.com,Srta. Aurora Cirino,+55 31 8231 6280,29766.0,54686.0,Y,ce57d78f-187f-4e6a-a730-9d681a9f303e,Y,ce8a4761-ca6f-4e2d-b8bb-8e8fefb13117,,,,N,
3.0,43.0,94.0,9999999999,2024-01-14,9999999988,2024-04-22,Non-Warranty,Completed,2024-01-14,2024-04-22,BZY-9R53,Esther Borges,Esther.Borges@@outlook.com,Davi Miguel da Paz,(021) 2506-5130,337.0,29412.0,Y,22a59014-dd42-4797-8983-4026bea3fe39,Y,d15eedae-726f-485d-8445-d3c3f3520ddd,,,,Y,b7c8535c-95e1-49a6-a7d5-dd6a402a3d1f
4.0,10.0,24.0,9999999999,2024-03-06,9999999988,2024-04-16,Non-Warranty,Pending,2024-03-06,2024-04-16,HSM-0I41,Laís Andrade,Laís.Andrade@uol.com.br,Sra. Ana Beatriz Pastor,11 0164-6647,27563.0,8177.0,N,,N,,,,,N,
5.0,41.0,84.0,9999999999,2024-05-22,9999999988,2024-07-20,Non-Warranty,Completed,2024-05-22,2024-07-20,KZV-5V24,Milena Fonseca,Milena.Fonseca@@gmail.com,Apollo Sales,+55 (051) 3249 2658,40316.0,41185.0,Y,2663dc31-1ca5-416b-8e3b-8c016b95c1a9,Y,02fbfed9-fae2-49ce-941c-dede6975deb0,,,,Y,e0d0ef45-051b-472a-9f3c-9a7a55a61a94
6.0,41.0,57.0,9999999999,2024-05-17,9999999988,2024-07-17,Non-Warranty,In Progress,2024-05-17,2024-07-17,QWT-7S32,Arthur Dias,Arthur.Dias@uol.com.br,Dr. Bryan Azevedo,(081) 4334-1426,49017.0,14530.0,N,,Y,05d8ebe9-446d-404f-bcd6-e71a247ef939,,,,Y,aa8d98e7-9ebb-4779-abfe-8915c710d79e
7.0,27.0,108.0,9999999999,2024-05-01,9999999988,2024-06-19,Non-Warranty,In Progress,2024-05-01,2024-06-19,DEV-2D48,Lívia Dias,Lívia.Dias@@gmail.com,Sophia Montenegro,21 8637-9093,14437.0,43481.0,Y,9f2650b3-a3c7-4784-8873-6e69675f3baa,Y,c87ddbec-c098-4776-9ffd-a5aad5173a31,,,,Y,7c4f3886-d2a4-4e22-8f4c-c3455440c81d
8.0,20.0,31.0,9999999999,2024-01-18,9999999988,2024-06-19,Warranty,In Progress,2024-01-18,2024-06-19,CXD-8P13,Sophie Cassiano,Sophie.Cassiano@uol.com.br,Thiago Alves,(041) 0491 9032,42871.0,35785.0,Y,8587a506-6324-4117-b691-35d97db60ef8,N,,,,,N,
9.0,42.0,79.0,9999999999,2024-03-18,9999999988,2024-03-24,Warranty,Pending,2024-03-18,2024-03-24,BRC-2G82,Miguel Sá,Miguel.Sá@@yahoo.com.br,Dra. Raquel Azevedo,31 5821-4319,32897.0,25003.0,Y,a1c614f5-57fb-4a76-b1d3-8257b4e357ea,Y,f675c83a-5ed3-419c-b8bc-14fd3884a13b,,,,N,
10.0,28.0,90.0,9999999999,2024-02-08,9999999988,2024-04-14,Warranty,In Progress,2024-02-08,2024-04-14,RLC-5J03,Francisco Barbosa,Francisco.Barbosa@@yahoo.com.br,Pedro Henrique Albuquerque,(011) 2750 2062,1971.0,46838.0,N,,Y,3615757b-786c-4c75-b2b4-974ba1220667,,,,N,
11.0,7.0,76.0,9999999999,2024-02-22,9999999988,2024-03-02,Warranty,Pending,2024-02-22,2024-03-02,MFK-4C18,Isabelly Rezende,Isabelly.Rezende@@outlook.com,Benjamim Farias,+55 11 8661 3575,27731.0,50526.0,N,,N,,,,,Y,10777f27-272f-4315-8943-cd19a2818aca
12.0,6.0,77.0,9999999999,2024-02-20,9999999988,2024-04-11,Warranty,Completed,2024-02-20,2024-04-11,ZTP-6X50,Gustavo Teixeira,Gustavo.Teixeira@@yahoo.com.br,Maria Flor Macedo,(061) 1531-8585,22060.0,72736.0,N,,N,,,,,Y,1507c039-2cef-47e5-be4c-06635e00f3d1
13.0,33.0,66.0,9999999999,2024-05-12,9999999988,2024-05-24,Warranty,Completed,2024-05-12,2024-05-24,EMZ-1E82,Cauê Freitas,Cauê.Freitas@@yahoo.com.br,Asafe Pereira,0500-231-4542,28587.0,54654.0,Y,2b3d7f62-c8cc-482f-8adf-9d5b4f56aa54,N,,,,,N,
14.0,34.0,81.0,9999999999,2024-05-28,9999999988,2024-07-13,Non-Warranty,Completed,2024-05-28,2024-07-13,HGR-2Y22,João Felipe da Conceição,João Felipe.da Conceição@uol.com.br,Maria Júlia Aparecida,(011) 6572-9917,25643.0,84544.0,Y,4aee6c86-930d-4693-adc2-7ededaa8ca39,N,,,,,Y,ef01e5d7-aa0d-443b-a88a-0235e305df4e
15.0,33.0,57.0,9999999999,2024-01-20,9999999988,2024-06-28,Non-Warranty,Completed,2024-01-20,2024-06-28,OTU-2V62,Benjamin Correia,Benjamin.Correia@uol.com.br,Maria Gonçalves,0900-745-5847,32380.0,34731.0,N,,N,,,,,Y,ebae8e8d-462f-456a-9b5c-b4d05c21e9f6
16.0,25.0,46.0,9999999999,2024-07-06,9999999988,2024-07-14,Non-Warranty,In Progress,2024-07-06,2024-07-14,TLZ-8W07,Dante Vargas,Dante.Vargas@uol.com.br,Dra. Zoe Silveira,0500-286-4644,32356.0,23112.0,N,,N,,,,,N,
17.0,10.0,69.0,9999999999,2024-02-20,9999999988,2024-05-04,Warranty,Completed,2024-02-20,2024-05-04,HNQ-5M08,Eloah Nunes,Eloah.Nunes@uol.com.br,Ana Clara Leão,+55 (031) 0321-2490,35360.0,60098.0,Y,16791bfd-596a-4d51-9b44-7b631efb90e0,Y,edf22435-5ef6-4b21-9c9e-444d307b13d4,,,,N,
18.0,50.0,98.0,9999999999,2024-05-23,9999999988,2024-07-01,Warranty,In Progress,2024-05-23,2024-07-01,DEB-5T48,Marcela Novaes,Marcela.Novaes@@outlook.com,Dom Araújo,+55 71 7441 5594,48053.0,36537.0,Y,b861f33d-4ee5-4728-a116-2fbdcd8083cf,Y,776ae433-a83e-4a48-af93-f7f8f8c41df6,,,,Y,d36b6928-5149-45ec-a23d-72e324a6150f
